time,latitude,longitude,adjusted_temp,adjusted_temp_unc
2019-04-28 15:00:00,5.5,-75.5,24.0470027923584,2.40470027923584
2019-04-28 16:00:00,5.5,-75.5,24.10700035095215,2.4107000827789307
2019-04-28 17:00:00,5.5,-75.5,25.616979598999023,2.5616979598999023
2019-04-28 18:00:00,5.5,-75.5,25.577001571655273,2.5577001571655273
2019-04-28 19:00:00,5.5,-75.5,25.496984481811523,2.5496985912323
2019-04-28 20:00:00,5.5,-75.5,24.686986923217773,2.468698740005493
2019-04-28 21:00:00,5.5,-75.5,25.277013778686523,2.5277013778686523
2019-04-28 22:00:00,5.5,-75.5,23.436986923217773,2.343698740005493
2019-04-28 23:00:00,5.5,-75.5,22.957006454467773,2.295700788497925
2019-04-29 00:00:00,5.5,-75.5,22.436986923217773,2.243698835372925
2019-04-29 01:00:00,5.5,-75.5,22.35700035095215,2.2357001304626465
2019-04-29 02:00:00,5.5,-75.5,20.5470027923584,2.0547003746032715
2019-04-29 03:00:00,5.5,-75.5,20.066991806030273,2.006699323654175
2019-04-29 04:00:00,5.5,-75.5,20.1770076751709,2.0177009105682373
2019-04-29 05:00:00,5.5,-75.5,19.4169979095459,1.9416998624801636
2019-04-29 06:00:00,5.5,-75.5,17.9169979095459,1.791699767112732
2019-04-29 07:00:00,5.5,-75.5,16.886999130249023,1.6886999607086182
2019-04-29 08:00:00,5.5,-75.5,16.306982040405273,1.6306982040405273
2019-04-29 09:00:00,5.5,-75.5,16.077001571655273,1.607700228691101
2019-04-29 10:00:00,5.5,-75.5,17.186986923217773,1.7186987400054932
2019-04-29 11:00:00,5.5,-75.5,17.4270076751709,1.7427008152008057
2019-04-29 12:00:00,5.5,-75.5,18.087011337280273,1.8087011575698853
2019-04-29 13:00:00,5.5,-75.5,19.186986923217773,1.9186986684799194
2019-04-29 14:00:00,5.5,-75.5,22.72699546813965,2.2726995944976807
2019-04-29 15:00:00,5.5,-75.5,23.636999130249023,2.3636999130249023
2019-04-29 16:00:00,5.5,-75.5,23.996984481811523,2.399698495864868
2019-04-29 17:00:00,5.5,-75.5,26.147008895874023,2.61470103263855
2019-04-29 18:00:00,5.5,-75.5,25.647008895874023,2.5647008419036865
2019-04-29 19:00:00,5.5,-75.5,24.85700035095215,2.4857001304626465
2019-04-29 20:00:00,5.5,-75.5,24.816991806030273,2.481699228286743
2019-04-29 21:00:00,5.5,-75.5,24.907018661499023,2.490701913833618
